Convert a string to an integer	java.lang.Integer-parseInt(java.lang.String)	java.lang.Integer-valueOf(java.lang.String)
Get all entries in a Map	java.util.Map-entrySet()
Generate a random integer in the range between 0 and n	java.util.Random-nextInt(int)
Get HTTP response status	java.net.HttpURLConnection-getResponseCode()
Split a String 	java.lang.String-split(java.lang.String)
Convert an integer to an hexadecimal string 	java.lang.Integer-toHexString(int)
List all files in a folder	java.io.File-listFiles()
Convert a character to a string 	java.lang.String-valueOf(char)	java.lang.Character-toString(char)
Send a HTTP request	java.net.URL-openStream()
Convert a list to an array	java.util.List-toArray()
Convert a string to a boolean	java.lang.Boolean-parseBoolean(java.lang.String)	java.lang.Boolean-valueOf(java.lang.String)
Get an array from a set 	java.util.Set-toArray()
Convert java.time.Date to java.sql.Date	java.sql.Date-valueOf(java.time.LocalDate)
Get the current date 	java.util.Calendar-getInstance()
Convert string to Long	java.lang.Long-valueOf(java.lang.String)	java.lang.Long-parseLong(java.lang.String)
Get the name of a file	java.io.File-getName()
Convert a string to an array of bytes	java.lang.String-getBytes()
Get the class of an object	java.lang.Object-getClass()
Get the stack trace of a thread	java.lang.Thread-getStackTrace()
Get the current thread	java.lang.Thread-currentThread()
Create a sub-array	java.util.Arrays-copyOfRange(T[]-int-int)
Compute the cube root	java.lang.Math-cbrt(double)	java.lang.StrictMath-cbrt(double)
Convert to lower case	java.lang.String-toLowerCase()
Conver to upper case	java.lang.String-toUpperCase()
Fill array	java.util.Arrays-fill(java.lang.Object[]-java.lang.Object)
Get a substring	java.lang.String-substring(int-int)
find the length of a list	java.util.List-size()	
create a directory	java.io.File-mkdir()
Calculate the intersection of two sets	java.util.Set-retainAll(java.util.Collection)
Decode a URL	java.net.URLDecoder-decode(java.lang.String)
convert date format to milliseconds	java.util.Date-getTime()
check whether there are any results in a ResultSet	java.sql.ResultSet-isBeforeFirst()
force garbage collection	java.lang.System-gc()
check whether a string contains a substring	java.lang.String-contains(java.lang.CharSequence)
Get the parent directory	java.io.File-getParentFile()
Get year	java.time.LocalDate-getYear()
Read a file into a byte array	java.nio.file.Files-readAllBytes(java.nio.file.Path)
Combine a date and a time	java.time.LocalDateTime-of(java.time.LocalDate-java.time.LocalTime)	java.time.LocalDate-atTime(java.time.LocalTime)	java.time.LocalTime-atDate(java.time.LocalDate)
Add hours to a time	java.time.LocalTime-plusHours(long)
Add weeks	java.time.LocalDate-plusWeeks(long)
Check if a folder exists	java.nio.file.Files-exists(java.nio.file.Path-java.nio.file.LinkOption[])
Shuffle a list	java.util.Collections-shuffle(java.util.List)
Move a file from a location to another	java.nio.file.Files-move(java.nio.file.Path-java.nio.file.Path-java.nio.file.CopyOption[])
Join Maps	java.util.Map-putAll(java.util.Map)
Monitor java heap size	java.lang.Runtime-totalMemory()
Convert a CharSequence to String	java.lang.CharSequence-toString()
Get the path of a URL	java.net.URL-getPath()
Get the size of a file in bytes	java.io.File-length()
Replace a substring of a string	java.lang.String-replace(java.lang.CharSequence-java.lang.CharSequence)
Convert array to List	java.util.Arrays-asList(T[])
convert from int to String	java.lang.String-valueOf(int)	java.lang.Integer-toString(int)
reverse a list	java.util.Collections-reverse(java.util.List)
sort a list	java.util.Collections-sort(java.util.List)
Get the number of elements in a list	java.util.List-size()
binary search on a sorted list	java.util.Collections-binarySearch(java.util.List-T)
Copy the elements of a list into another list	java.util.Collections-copy(java.util.List-java.util.List)
Find whether two collections have some elements in common	java.util.Collections-disjoint(java.util.Collection-java.util.Collection)
Set all the elements of a list to a specified element	java.util.Collections-fill(java.util.List-T)
Find how many times a specified element appears in a given collection	java.util.Collections-frequency(java.util.Collection-java.lang.Object)
Find the position of a specified sublist into another list	java.util.Collections-frequency(java.util.Collection-java.lang.Object)
Create a list from an enumeration	java.util.Collections-list(java.util.Enumeration)
Find the maximum elment of a list	java.util.Collections-max(java.util.Collection)
Get the minimum element of a list	java.util.Collections-min(java.util.Collection)
Swap two elements in a list	java.util.Collections-swap(java.util.List-int-int)
Get the absolute value	java.lang.Math-abs(double)	java.lang.StrictMath-abs(double)
Compute the cosine of an angle	java.lang.Math-cos(double)	java.lang.StrictMath-cos(double)
Raise the Euler's number to a specified exponent	java.lang.Math-exp(double)
Natural logarithm	java.lang.Math-log(double)	java.lang.StrictMath-log(double)
base 10 logarithm	java.lang.Math-log10(double)	java.lang.StrictMath-log10(double)
Round a real number to the closest integer	java.lang.Math-round(double)	java.lang.Math-rint(double)	java.lang.StrictMath-round(double)	java.lang.StrictMath-rint(double)
Square root	java.lang.Math-sqrt(double)	java.lang.StrictMath-sqrt(double)
Get the maximum between two integers	java.lang.Math-max(int-int)	java.lang.StrictMath-max(int-int)
Get the minimum between two integers	java.lang.Math-min(int-int)	java.lang.StrictMath-min(int-int)
Compute the sine of an angle	java.lang.Math-sin(double)	java.lang.StrictMath-sin(double)
Compute the hyperbolic sine of a value	java.lang.Math-sinh(double)	java.lang.StrictMath-sinh(double)
Convert degrees to randians	java.lang.StrictMath-toRadians(double)	java.lang.Math-toRadians(double)
Convert randians to degrees	java.lang.StrictMath-toDegrees(double)	java.lang.Math-toDegrees(double)
Create a LocalDate given the year, the month and the day	java.time.LocalDate-of(int-int-int)
Check whether a date is before another one	java.time.LocalDate-isBefore(java.time.chrono.ChronoLocalDate)	java.time.chrono.ChronoLocalDate-isBefore(java.time.chrono.ChronoLocalDate)
Check whether a date is after another one	java.time.LocalDate-isAfter(java.time.chrono.ChronoLocalDate)	java.time.chrono.ChronoLocalDate-isAfter(java.time.chrono.ChronoLocalDate)
Get the year	java.time.LocalDate-getYear()
Get the day of the week	java.time.LocalDate-getDayOfWeek()	java.time.DayOfWeek-from(java.time.temporal.TemporalAccessor)
Check whether a time is before another one	java.time.LocalTime-isBefore(java.time.LocalTime)
Check whether a time is after another one	java.time.LocalTime-isAfter(java.time.LocalTime)
Create a LocalTime from an hour and a minute	java.time.LocalTime-of(int-int)
Subtract a given amount of minutes from a LocalTime	java.time.LocalTime-minusMinutes(long)
Subtract a given amount of hours from a LocalTime	java.time.LocalTime-minusHours(long)
Add a given amount of seconds to a LocalTime	java.time.LocalTime-plusSeconds(long)
Delete a file	java.nio.file.Files-delete(java.nio.file.Path)
Delete a file if it exists	java.nio.file.Files-deleteIfExists(java.nio.file.Path)
Check whether a file is a directory	java.io.File-isDirectory()
Check whether a file is executable	java.nio.file.Files-isExecutable(java.nio.file.Path)
Read all lines of a file into a stream	java.nio.file.Files-lines(java.nio.file.Path)
Read all lines from a file	java.nio.file.Files-readAllLines(java.nio.file.Path)
Write lines to a file		java.nio.file.Files-write(java.nio.file.Path-java.lang.Iterable-java.nio.file.OpenOption[])
Test whether a file is readable	java.nio.file.Files-isReadable(java.nio.file.Path)
Rename a file	java.io.File-renameTo(java.io.File)
Convert a file to a URI	java.io.File-toURI()
Extract a character from a string	java.lang.String-charAt(int)
Check whether two strings are equal ignoring case	java.lang.String-equalsIgnoreCase(java.lang.String)
Test whether a string starts with a given sequence of characters	java.lang.String-startsWith(java.lang.String)
Remove an element from a list	java.util.List-remove(java.lang.Object)
Get the element at a specified position	java.util.List-get(int)
Remove all the elements from a list	java.util.List-clear()
Check whether a list contains any elements	java.util.List-isEmpty()
Get the index of a specified object	java.util.List-indexOf(java.lang.Object)
Append an element to a list	java.util.List-add(E)
Remove all the entries in a map	java.util.Map-clear()
Check whether a mapping exists for a specified key	java.util.Map-containsKey(java.lang.Object)
Check whether a map contains a specified value	java.util.Map-containsValue(java.lang.Object)
Get the number of entries in a map	java.util.Map-size()
Get the values in a map	java.util.Map-values()
Get the keys in a map	java.util.Map-keySet()
Check whether an element is contained in a set	java.util.Set-contains(java.lang.Object)
Remove an element from a set	java.util.Set-remove(java.lang.Object)
Check whether a set is empty	java.util.Set-isEmpty()
Get class object by name	java.lang.Class-forName(java.lang.String)
get the canonical name of a class	java.lang.Class-getCanonicalName()
Get all the methods of a class	java.lang.Class-getMethods()
Check whether a class object represents a primitive type	java.lang.Class-isPrimitive()
Create a new instance of a class	java.lang.Class-newInstance()
Get the constructors of a class	java.lang.Class-getConstructors()
